id,Label,mint_count_per_week,burn_count_per_week,mint_ratio,swap_ratio,burn_ratio,mint_mean_period,swap_mean_period,burn_mean_period,swap_in_per_week,swap_out_per_week,swap_rate,lp_avg,lp_std,lp_creator_holding_ratio,lp_lock_ratio,token_burn_ratio,token_creator_holding_ratio
0x3cd1c0b98be4451ca51265bbaeb76cf7b31e1c02,False,531.1959022030402,39.839692665228014,0.4819277108433735,0.4819277108433735,0.03614457831325301,0.3937178110884419,0.03261372556733981,0.5077703025500081,304.375251962342,226.82065024069814,1.338785046728972,10.0,28.332213115109806,0,0,0,0
0x0c52de7bb69edd144d58d772fab1cd196919f5ef,False,54.542476035404555,2.0015587535928274,0.3771626297577855,0.6089965397923875,0.01384083044982699,0.8051495550278377,0.6401968674754661,0.5511411623262422,49.038189463024274,39.030395695060136,1.240506329113924,10.0,24.793349914846118,0,0,0,0
0xa00d47b4b304792eb07b09233467b690db847c91,False,230.7726306954893,110.13010575489729,0.2742415229030339,0.594883997620464,0.13087447947650208,0.4529302866727105,0.05377288600214462,0.6026391722505722,240.78445849138905,259.8069313035986,0.925,10.0,71.4047953571747,0,0,0,0
0x114e40ba90e9d8b002bc6936e3299daa393017bb,False,58.779513692758556,8.540613100657227,0.10317460317460317,0.8818342151675485,0.014991181657848324,0.7597454628009775,0.19099805023971367,0.7111216463455349,318.01224074800143,184.37676517301188,1.7201086956521738,10.0,93.0910049360302,0,0,0,0
0x40829a59080a12f16bb8fba22354a6a42c810aab,False,94.726400482635,12.02874926763619,0.15581203627370158,0.8244023083264633,0.01978565539983512,0.5081116913021736,0.0028824955267324464,0.6304341686201734,313.24867884469245,187.94920730681548,1.6622340425531914,10.0,77.28122928628918,0,0,0,0
0x3f759c3f4cdba32e69ddf607e0cdcc2547061b97,False,506.69816774323266,119.07406941965968,0.44742729306487694,0.44742729306487694,0.10514541387024609,0.09798237122331482,0.05506360286000577,0.38076968801480954,257.4026692135622,249.29549852967048,1.0304259634888437,10.0,76.04994214330475,0,0,0,0
0x182885fa47b63c02d06a8d65db3bf3871be9f998,False,92.52111096778034,33.00753148039731,0.14788169464428458,0.7993605115907274,0.05275779376498801,0.2537153198218764,0.10080162243351794,0.47189855158769545,273.06230588328685,227.05180745606637,1.2,11.11111111111111,92.81814094717095,0,0,0,0
0x6b8bc6cebaa266429f387125d433e46f59cdb499,False,16.124197376785308,4.534930512220868,0.13617021276595745,0.825531914893617,0.03829787234042553,0.20898665453085982,0.5055089733879893,0.4913725496781604,49.884235634429544,47.868710962331384,1.03125,10.0,65.76600793723152,0,0,0,0
0x0ed2b16d5ac4a997f896562f7e8a8a357c1f8222,False,500.55783065122176,55.0613613716344,0.47393364928909953,0.47393364928909953,0.052132701421800945,0.2678638897542804,0.1427023193228293,0.5613851640229878,278.8107116727305,221.74711897849124,1.2545045045045045,10.0,31.722074333183194,0,0,0,0
0x5c460c0054fd472a821a5a601378f0d2bf02a9b4,False,80.01336201978174,23.00384158068725,0.13266998341625208,0.8291873963515755,0.03814262023217247,0.5445833429816176,0.03410034436104652,0.4854531440725904,319.5533645665033,180.53014805713255,1.7651933701657458,10.0,74.81759151429561,79.44,0,3.31,5.81
